,year,make,model,sub_model,city,state,mileage,price,style,exterior_color,interior_color,engine,drive_type,fuel_type,transmission,accidents,title,owners,use_type
2887,2019,Nissan,Frontier,SV Crew Cab 2WD Automatic,Fort Myers,FL,21572,29999,Pickup Truck,Cayenne Red Metallic,Steel,4.0L V-6 Gas,RWD,Gas,Automatic,0,Clean,1,Personal Use
2888,2013,Honda,Accord,EX-L V6 Sedan Automatic,San Antonio,TX,79051,15895,Sedan,Crystal Black Pearl,Black,3.5L V-6 Gas,FWD,Gas,Automatic,0,Clean,1,Personal Use
2889,2018,Nissan,Altima,2.5 SR,Longview,TX,68000,22999,Sedan,Super Black,Sport Interior,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,1,Personal Use
2890,2019,Lexus,ES,ES 350,Naples,FL,31700,38928,Sedan,Eminent White Pearl,Flaxen,3.5L V-6 Gas,FWD,Gas,Automatic,0,Clean,1,Personal Use
2891,2018,Ford,Fusion,SE FWD,Nokomis,FL,46295,17679,Sedan,White Platinum Metallic Tri-Coat,Medium Light Stone,1.5L Inline-4 Gas Turbocharged,FWD,Gas,Automatic,0,Clean,3,Personal Use
2892,2018,Toyota,RAV4,XLE FWD,Jacksonville,FL,32700,26977,SUV,Silver Sky Metallic,Ash,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,2,Personal Use
2893,2018,Ford,EcoSport,SES 4WD,Palm Coast,FL,50043,16544,SUV,Shadow Black,Ebony Black,2.0L Inline-4 Gas,4WD,Gas,Automatic,1,Clean,1,Personal Use
2894,2007,Toyota,FJ Cruiser,4WD Automatic,Chesapeake,VA,154630,13995,SUV,Silver,Black,4.0L V-6 Gas,4WD,Gas,Automatic,0,Clean,2,Personal Use
2895,2018,Chevrolet,Malibu,Premier with 2LZ,Castroville,TX,116497,20502,Sedan,Mosaic Black Metallic,Jet Black,2.0L Inline-4 Gas Turbocharged,FWD,Gas,Automatic,1,Clean,2,Personal Use
2896,2019,INFINITI,QX50,ESSENTIAL FWD,Sarasota,FL,18244,37000,SUV,Graphite Shadow,Graphite,2.0L Inline-4 Gas Turbocharged,FWD,Gas,Automatic,0,Clean,1,Personal Use
2897,2017,Chevrolet,Malibu,LT with 1LT,Winter Haven,FL,59203,18008,Sedan,Mosaic Black Metallic,Dark Atmosphere/Medium Ash Gray,1.5L Inline-4 Gas Turbocharged,FWD,Gas,Automatic,0,Clean,1,Personal Use
2898,2018,Ford,F-150,Lariat SuperCrew 5.5' Box 4WD,Lubbock,TX,94540,38693,Pickup Truck,Shadow Black,Black,3.5L V-6 Gas Turbocharged,4WD,Gas,Automatic,0,Clean,2,Personal Use
2899,2004,Ford,Super Duty F-450 Chassis Cab,"Reg Cab 141"" WB 60"" CA XL",Murrysville,PA,58857,12849,Chassis Cab Truck,White,Gray,6.0L V-8 Diesel Turbocharged,RWD,Diesel,Automatic,0,Clean,2,Personal Use
2900,2018,Ram,1500,"Express Quad Cab 6'4"" Box 4WD",Attica,NY,18159,31291,Pickup Truck,Brilliant Black Crystal Pearlcoat,Diesel Gray/Black,3.6L V-6 Gas,4WD,Gas,Automatic,0,Clean,1,Personal Use
2901,2021,Chevrolet,Silverado 1500,LT Trail Boss Crew Cab Short Bed 4WD,Palm Coast,FL,21572,51995,Pickup Truck,Summit White,Jet Black,5.3L V-8 Gas,4WD,Gas,Automatic,0,Clean,1,Personal Use
2902,2020,Dodge,Journey,Crossroad FWD,San Antonio,TX,43468,21300,SUV,Billet Clearcoat,Black,2.4L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,1,Rental Use
2903,2019,Chevrolet,Equinox,LT with 1LT AWD,Wernersville,PA,24653,27843,SUV,Iridescent Pearl Tricoat,Jet Black,1.5L Inline-4 Gas Turbocharged,AWD,Gas,Automatic,0,Clean,3,Rental Use
2904,2018,Toyota,4Runner,TRD Off Road Premium 4WD,Lindon,UT,38845,35800,SUV,Black,Black Graphite,4.0L V-6 Gas,4WD,Gas,Automatic,1,Clean,1,Personal Use
2905,2018,Jeep,Grand Cherokee,Limited 4WD,South Richmond Hill,NY,28805,29990,SUV,Bright White Clearcoat,Black,3.6L V-6 Gas,4WD,Gas,Automatic,0,Clean,1,Personal Use
2906,2016,Ford,F-150,Lariat SuperCrew 5.5' Box 4WD,Graham,NC,64497,36939,Pickup Truck,Shadow Black,Black,5.0L V-8 Gas Turbocharged,4WD,Gas,Automatic,0,Clean,2,Personal Use
2907,2016,Jeep,Wrangler,Unlimited Sport,Fredericksburg,VA,84993,28000,SUV,Bright White Clearcoat,Black,3.6L V-6 Gas,4WD,Gas,Automatic,0,Clean,1,Personal Use
2908,2018,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Fife,WA,56250,36999,Pickup Truck,Black Velvet,Black,5.0L V-8 Gas,4WD,Gas,Automatic,0,Clean,1,Personal Use
2909,2014,Chevrolet,Silverado 1500,LT with 1LT Crew Cab Short Box 4WD,Owasso,OK,146663,23599,Pickup Truck,White Diamond Tricoat,Cocoa/Dune,5.3L V-8 Gas,4WD,Gas,Automatic,0,Clean,2,Personal Use
2910,2016,Hyundai,Sonata,SE 2.4L (PZEV),San Antonio,TX,116626,11997,Sedan,Shale Gray Metallic,Gray,2.4L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,5,Fleet Use
2911,2021,Chevrolet,Silverado 1500,LT Trail Boss Crew Cab Short Bed 4WD,Webster,TX,11181,54998,Pickup Truck,Black,Jet Black,5.3L V-8 Gas,4WD,Gas,Automatic,0,Clean,1,Personal Use
2912,2017,Mercedes-Benz,C-Class,C 300 Sedan RWD,Fort Lauderdale,FL,49580,19890,Sedan,Gray,Black,2.0L Inline-4 Gas Turbocharged,RWD,Gas,Automatic,1,Clean,1,Personal Use
2913,2016,Ford,Fusion,SE FWD,Seffner,FL,64228,13994,Sedan,Deep Impact Blue,Unknown,2.5L Inline-4 Gas,FWD,Gas,Automatic,2,Clean,2,Rental Use
2914,2011,Ram,2500,"SLT Crew Cab 6'4"" Box 4WD",Yutan,NE,61755,27883,Pickup Truck,Bright White,Dark Slate/Medium Graystone Interior,5.7L V-8 Gas,4WD,Gas,Automatic,0,Clean,2,Personal Use
2915,2015,Chevrolet,Cruze,LT with 1LT Automatic,Tampa,FL,103109,8480,Sedan,Summit White,Medium Titanium,1.4L Inline-4 Gas Turbocharged,FWD,Gas,Automatic,2,Clean,3,Fleet Use
2916,2019,Honda,Accord,Sport 1.5T CVT,Brooklyn,NY,40122,25675,Sedan,Crystal Black Pearl,Unknown,1.5L Inline-4 Gas Turbocharged,FWD,Gas,Automatic,1,Theft History,1,Personal Use
2917,2020,Ford,F-150,Platinum SuperCrew 5.5' Box 4WD,Plano,IL,27055,53941,Pickup Truck,Black,Black,3.5L V-6 Gas Turbocharged,4WD,Gas,Automatic,1,Clean,1,Rental Use
