,year,make,model,sub_model,city,state,mileage,price,style,exterior_color,interior_color,engine,drive_type,fuel_type,transmission,accidents,title,owners,use_type,cpo
7540,2019,INFINITI,Q50,3.0t LUXE RWD,Gilbert,AZ,"51,982","$27,998",Sedan,Midnight Black,Wheat,3.0L V-6 Gas Turbocharged,RWD,Gas,Automatic,0,Clean,1,Personal Use,True
7541,2019,Ram,1500,"Big Horn/Lone Star Crew Cab 5'7"" Box 4WD",West Babylon,NY,"29,523","$39,990",Pickup Truck,Diamond Black Crystal Pearlcoat,Black,3.6L V-6 Gas,4WD,Gas,Automatic,0,Clean,1,Personal Use,True
7542,2012,BMW,X5,xDrive50i AWD,Houston,TX,"94,901","$13,995",SUV,Platinum Gray Metallic,Gold,4.4L V-8 Gas Turbocharged,AWD,Gas,Automatic,0,Clean,3,Fleet Use,True
7543,2020,Honda,Accord,Sport 1.5T CVT,San Antonio,TX,"32,063","$29,507",Sedan,Platinum White Pearl,Black,1.5L Inline-4 Gas Turbocharged,FWD,Gas,Automatic,0,Clean,1,Personal Use,True
7544,2019,Jeep,Cherokee,Limited 4WD,Downingtown,PA,"42,440","$28,600",SUV,Bright White Clearcoat,Black,3.2L V-6 Gas,4WD,Gas,Automatic,0,Clean,1,Personal Use,True
7545,2019,Ford,F-150,Platinum SuperCrew 5.5' Box 4WD,Canton,GA,"22,214","$54,554",Pickup Truck,Magma Red Metallic,Black,3.5L V-6 Gas Turbocharged,4WD,Gas,Automatic,0,Clean,1,Personal Use,True
7546,2018,Ford,F-150,Lariat SuperCrew 5.5' Box 4WD,Norman,OK,"72,322","$37,900",Pickup Truck,Guard Metallic,Black,3.5L V-6 Gas Turbocharged,4WD,Gas,Automatic,0,Clean,2,Fleet Use,True
7547,2017,Dodge,Grand Caravan,SXT,Ontario,CA,"115,474","$11,995",Minivan,Contusion Blue Pearlcoat,Black/Light Graystone,3.6L V-6 Gas,FWD,Gas,Automatic,0,Clean,2,Rental Use,True
7548,2017,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Addison,IL,"55,576","$30,995",Pickup Truck,Magnetic Metallic,Medium Earth Gray,2.7L V-6 Gas Turbocharged,4WD,Gas,Automatic,1,Clean,1,Personal Use,True
7549,2018,Mercedes-Benz,C-Class,C 300 Sedan RWD,Fort Lauderdale,FL,"57,471","$29,995",Sedan,Black,Black,2.0L Inline-4 Gas Turbocharged,RWD,Gas,Automatic,1,Clean,3,Personal Use,True
